X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
174.886,-40.9005999999999,126,New Zealand,2021/04/25 02:20:41+00,-40.9006,174.886,2601,26,2542,33
-85.207229,12.865416,127,Nicaragua,2021/04/25 02:20:41+00,12.865416,-85.207229,6835,181,4225,2429
8.08166600000004,17.607789,128,Niger,2021/04/25 02:20:41+00,17.607789,8.081666,5158,191,4831,136
8.67530000000005,9.08200000000005,129,Nigeria,2021/04/25 02:20:41+00,9.082,8.6753,164684,2061,154687,7936
21.7453,41.6086000000001,130,North Macedonia,2021/04/25 02:20:41+00,41.6086,21.7453,150274,4650,128496,17128
8.46890000000008,60.472,131,Norway,2021/04/25 02:20:41+00,60.472,8.4689,110390,736,17998,91656
55.923255,21.5125830000001,132,Oman,2021/04/25 02:20:41+00,21.512583,55.923255,185278,1942,165051,18285
69.3451000000001,30.3753,133,Pakistan,2021/04/25 02:20:41+00,30.3753,69.3451,790016,16999,686488,86529
-80.7821,8.53800000000007,134,Panama,2021/04/25 02:20:41+00,8.538,-80.7821,362696,6207,352523,3966
143.95555,-6.31499299999996,135,Papua New Guinea,2021/04/25 02:20:41+00,-6.314993,143.95555,10602,102,8301,2199
-58.4438,-23.4424999999999,136,Paraguay,2021/04/25 02:20:41+00,-23.4425,-58.4438,265296,5802,217685,41809
-75.0151999999999,-9.18999999999994,137,Peru,2021/04/25 02:20:41+00,-9.19,-75.0152,1754150,59440,1679099,15611
121.774017,12.8797210000001,138,Philippines,2021/04/25 02:20:41+00,12.879721,121.774017,989380,16674,883221,89485
19.1451000000001,51.9194000000001,139,Poland,2021/04/25 02:20:41+00,51.9194,19.1451,2751632,65222,2422659,263751
-8.22449999999998,39.3999000000001,140,Portugal,2021/04/25 02:20:41+00,39.3999,-8.2245,833964,16959,792377,24628
51.1839000000001,25.3548000000001,141,Qatar,2021/04/25 02:20:41+00,25.3548,51.1839,201496,418,179974,21104
24.9668,45.9432,142,Romania,2021/04/25 02:20:41+00,45.9432,24.9668,1044722,27267,968746,48709
105.3188,61.5240000000001,143,Russia,2021/04/25 02:20:41+00,61.524,105.3188,4699988,106108,4330610,263270
29.8739,-1.94029999999998,144,Rwanda,2021/04/25 02:20:41+00,-1.9403,29.8739,24535,328,22866,1341
-62.782998,17.3578220000001,145,Saint Kitts and Nevis,2021/04/25 02:20:41+00,17.357822,-62.782998,44,0,44,0
-60.9789,13.9094000000001,146,Saint Lucia,2021/04/25 02:20:41+00,13.9094,-60.9789,4463,70,4290,103
-61.2872,12.9843000000001,147,Saint Vincent and the Grenadines,2021/04/25 02:20:41+00,12.9843,-61.2872,1830,10,1711,109
-172.1046,-13.759,148,Samoa,2021/04/25 02:20:41+00,-13.759,-172.1046,3,0,2,1
12.4578000000001,43.9424000000001,149,San Marino,2021/04/25 02:20:41+00,43.9424,12.4578,5047,89,4839,119
6.61310000000003,0.1864,150,Sao Tome and Principe,2021/04/25 02:20:41+00,0.1864,6.6131,2297,35,2234,28
45.0791620000001,23.8859420000001,151,Saudi Arabia,2021/04/25 02:20:41+00,23.885942,45.079162,411263,6887,394529,9847
-14.4524,14.4974,152,Senegal,2021/04/25 02:20:41+00,14.4974,-14.4524,40082,1099,38815,168
21.0059000000001,44.0165000000001,153,Serbia,2021/04/25 02:20:41+00,44.0165,21.0059,677972,6196,,671776
55.4920000000001,-4.67959999999994,154,Seychelles,2021/04/25 02:20:41+00,-4.6796,55.492,5206,26,4675,505
-11.779889,8.46055500000006,155,Sierra Leone,2021/04/25 02:20:41+00,8.460555,-11.779889,4044,79,2967,998
103.8333,1.28330000000005,156,Singapore,2021/04/25 02:20:41+00,1.2833,103.8333,60966,30,60629,307
19.6990000000001,48.669,157,Slovakia,2021/04/25 02:20:41+00,48.669,19.699,379476,11458,255300,112718
14.9955000000001,46.1512000000001,158,Slovenia,2021/04/25 02:20:41+00,46.1512,14.9955,236613,4203,221814,10596
160.1562,-9.64569999999998,159,Solomon Islands,2021/04/25 02:20:41+00,-9.6457,160.1562,20,0,18,2
46.199616,5.15214900000007,160,Somalia,2021/04/25 02:20:41+00,5.152149,46.199616,13459,689,5593,7177
22.9375000000001,-30.5595,161,South Africa,2021/04/25 02:20:41+00,-30.5595,22.9375,1574370,54125,1500360,19885
31.3070000000001,6.87700000000007,162,South Sudan,2021/04/25 02:20:41+00,6.877,31.307,10515,114,10250,151
-3.74921999999998,40.463667,163,Spain,2021/04/25 02:20:41+00,40.463667,-3.74922,3468617,77591,150376,3240650
